rank,prev_rank,name,league,off,def,spi
1,1,Manchester City,Barclays Premier League,2.83,0.28,92.28
2,2,Bayern Munich,German Bundesliga,3.04,0.68,87.66
3,3,Barcelona,Spanish Primera Division,2.45,0.43,86.4
4,4,Real Madrid,Spanish Primera Division,2.56,0.6,84.41
5,5,Liverpool,Barclays Premier League,2.63,0.67,83.93
6,6,Arsenal,Barclays Premier League,2.53,0.61,83.92
7,7,Newcastle,Barclays Premier League,2.38,0.53,83.7
8,9,Napoli,Italy Serie A,2.3,0.51,83.25
9,8,Borussia Dortmund,German Bundesliga,2.83,0.84,82.91
10,10,Brighton and Hove Albion,Barclays Premier League,2.47,0.73,80.88
11,11,RB Leipzig,German Bundesliga,2.39,0.7,80.42
12,13,Benfica,Portuguese Liga,2.4,0.73,79.96
13,15,Aston Villa,Barclays Premier League,2.01,0.51,79.3
14,14,Atletico Madrid,Spanish Primera Division,2.26,0.67,79.29
15,12,Paris Saint-Germain,French Ligue 1,2.62,0.91,79.12
16,16,Manchester United,Barclays Premier League,2.35,0.74,79.08
17,17,Internazionale,Italy Serie A,2.33,0.78,77.88
18,18,Ajax,Dutch Eredivisie,2.66,1.03,77.36
19,22,Lille,French Ligue 1,2.07,0.64,77.2
20,19,Brentford,Barclays Premier League,2.1,0.67,77.14
21,23,Real Sociedad,Spanish Primera Division,1.87,0.52,77.07
22,20,Sporting CP,Portuguese Liga,2.07,0.66,76.96
23,21,FC Porto,Portuguese Liga,2.16,0.72,76.86
24,24,Chelsea,Barclays Premier League,2.04,0.68,75.78
25,27,Feyenoord,Dutch Eredivisie,2.28,0.87,75.25
26,25,Lyon,French Ligue 1,2.28,0.88,75.18
27,26,Stade Rennes,French Ligue 1,2.01,0.69,75.14
28,28,Bayer Leverkusen,German Bundesliga,2.03,0.72,74.88
29,32,Athletic Bilbao,Spanish Primera Division,1.84,0.59,74.78
30,29,Celtic,Scottish Premiership,2.53,1.07,74.69
31,33,Fiorentina,Italy Serie A,2.08,0.77,74.52
32,30,Zenit St Petersburg,Russian Premier Liga,2.02,0.73,74.38
33,31,FC Twente,Dutch Eredivisie,2.22,0.88,74.18
34,34,Marseille,French Ligue 1,2.05,0.77,73.99
35,35,PSV,Dutch Eredivisie,2.38,1.02,73.51
36,36,Crystal Palace,Barclays Premier League,1.81,0.62,73.46
37,40,Villarreal,Spanish Primera Division,2.14,0.86,73.35
38,39,Lens,French Ligue 1,1.96,0.73,73.34
39,37,AC Milan,Italy Serie A,2.05,0.8,73.33
40,41,AS Roma,Italy Serie A,1.82,0.65,73.0
41,38,FC Salzburg,Austrian T-Mobile Bundesliga,2.06,0.83,72.91
42,42,FC Cologne,German Bundesliga,2.03,0.81,72.57
43,43,Tottenham Hotspur,Barclays Premier League,2.19,0.95,72.14
44,44,Rangers,Scottish Premiership,2.25,1.0,71.98
45,45,Eintracht Frankfurt,German Bundesliga,2.07,0.88,71.61
46,50,Atalanta,Italy Serie A,2.1,0.93,71.05
47,47,West Ham United,Barclays Premier League,1.94,0.82,70.89
48,48,VfL Wolfsburg,German Bundesliga,2.07,0.92,70.86
49,52,Juventus,Italy Serie A,1.89,0.81,70.36
50,51,Torino,Italy Serie A,1.7,0.66,70.34
51,46,Sevilla FC,Spanish Primera Division,1.81,0.77,69.76
52,49,Palmeiras,Brasileiro Série A,1.8,0.77,69.47
53,53,Mainz,German Bundesliga,2.11,1.02,69.33
54,63,Besiktas,Turkish Turkcell Super Lig,2.09,1.03,68.68
55,55,Valencia,Spanish Primera Division,1.73,0.75,68.68
56,65,Lazio,Italy Serie A,1.77,0.79,68.63
57,54,Fulham,Barclays Premier League,1.9,0.9,68.22
58,57,Celta Vigo,Spanish Primera Division,1.72,0.77,68.08
59,60,Nice,French Ligue 1,1.75,0.8,67.86
60,58,VfB Stuttgart,German Bundesliga,1.96,0.97,67.66
61,59,Borussia Monchengladbach,German Bundesliga,2.1,1.09,67.64
62,64,Flamengo,Brasileiro Série A,1.91,0.94,67.58
63,61,AZ,Dutch Eredivisie,1.92,0.96,67.2
64,70,Galatasaray,Turkish Turkcell Super Lig,2.0,1.03,67.12
65,56,Girona FC,Spanish Primera Division,1.93,0.97,67.11
66,62,Real Betis,Spanish Primera Division,1.73,0.82,66.95
67,66,SC Freiburg,German Bundesliga,1.91,0.99,66.38
68,67,Strasbourg,French Ligue 1,1.78,0.89,66.23
69,68,1. FC Union Berlin,German Bundesliga,1.71,0.84,65.99
70,75,Osasuna,Spanish Primera Division,1.63,0.8,65.37
71,74,Young Boys,Swiss Raiffeisen Super League,2.1,1.21,64.89
72,69,Atletico Mineiro,Brasileiro Série A,1.56,0.76,64.85
73,76,Getafe,Spanish Primera Division,1.51,0.73,64.58
74,72,AS Monaco,French Ligue 1,1.95,1.11,64.44
75,77,Leicester City,Barclays Premier League,1.87,1.04,64.42
76,85,KAA Gent,Belgian Jupiler League,1.93,1.1,64.08
77,73,Reims,French Ligue 1,1.72,0.94,63.87
78,80,Bologna,Italy Serie A,1.79,1.0,63.79
79,81,Werder Bremen,German Bundesliga,1.93,1.11,63.74
80,82,Monterrey,Mexican Primera Division Torneo Clausura,1.58,0.83,63.66
81,83,Everton,Barclays Premier League,1.82,1.03,63.63
82,71,Fenerbahce,Turkish Turkcell Super Lig,2.01,1.21,63.3
83,84,TSG Hoffenheim,German Bundesliga,1.96,1.17,63.26
84,78,Sassuolo,Italy Serie A,1.9,1.12,63.11
85,86,Slavia Prague,UEFA Europa Conference League,1.83,1.06,63.09
86,87,Braga,Portuguese Liga,1.78,1.02,62.98
87,88,Burnley,English League Championship,1.53,0.82,62.94
88,90,Bodo/Glimt,Norwegian Tippeligaen,2.16,1.36,62.67
89,79,Rayo Vallecano,Spanish Primera Division,1.66,0.93,62.63
90,89,Olympiacos,Greek Super League,1.69,0.98,62.25
91,92,Dinamo Zagreb,UEFA Champions League,1.8,1.09,61.85
92,91,Genk,Belgian Jupiler League,2.07,1.33,61.75
93,98,Clermont Foot,French Ligue 1,1.61,0.94,61.42
94,93,AEK Athens,Greek Super League,1.59,0.93,61.24
95,107,Club Brugge,Belgian Jupiler League,1.85,1.16,61.21
96,94,Tigres UANL,Mexican Primera Division Torneo Clausura,1.55,0.91,60.91
97,95,Club América,Mexican Primera Division Torneo Clausura,1.8,1.14,60.62
98,103,Toulouse,French Ligue 1,1.64,1.03,59.96
99,96,Udinese,Italy Serie A,1.67,1.06,59.92
100,101,Lecce,Italy Serie A,1.46,0.88,59.68
101,113,Mallorca,Spanish Primera Division,1.51,0.93,59.67
102,106,Antwerp,Belgian Jupiler League,1.55,0.96,59.6
103,102,AFC Bournemouth,Barclays Premier League,1.68,1.08,59.58
104,104,Schalke 04,German Bundesliga,1.81,1.2,59.46
105,118,CSKA Moscow,Russian Premier Liga,1.54,0.96,59.4
106,108,Wolverhampton,Barclays Premier League,1.55,0.99,59.06
107,109,Leeds United,Barclays Premier League,1.84,1.25,59.0
108,122,SK Sturm Graz,Austrian T-Mobile Bundesliga,1.71,1.14,58.95
109,99,Espanyol,Spanish Primera Division,1.86,1.27,58.85
110,97,Monza,Italy Serie A,1.69,1.12,58.83
111,111,Vitesse,Dutch Eredivisie,1.65,1.08,58.82
112,112,River Plate,Argentina Primera Division,1.59,1.03,58.76
113,123,Montpellier,French Ligue 1,1.77,1.21,58.56
114,114,Slovácko,UEFA Europa Conference League,1.77,1.21,58.54
115,115,Red Star Belgrade,UEFA Europa League,1.75,1.19,58.52
116,117,Cadiz,Spanish Primera Division,1.52,0.99,58.27
117,105,São Paulo,Brasileiro Série A,1.53,1.0,58.24
118,116,FC Copenhagen,Danish SAS-Ligaen,1.75,1.2,58.03
119,100,Union Saint Gilloise,Belgian Jupiler League,1.82,1.28,57.96
120,110,Adana Demirspor,Turkish Turkcell Super Lig,1.88,1.34,57.86
121,120,FC Utrecht,Dutch Eredivisie,1.78,1.25,57.74
122,121,Shakhtar Donetsk,UEFA Europa League,1.77,1.24,57.61
123,119,Elche,Spanish Primera Division,1.62,1.11,57.52
124,129,Almeria,Spanish Primera Division,1.69,1.18,57.43
125,124,Fluminense,Brasileiro Série A,1.53,1.03,57.41
126,125,FC Augsburg,German Bundesliga,1.73,1.22,57.19
127,126,Southampton,Barclays Premier League,1.66,1.18,56.74
128,127,Sheffield United,English League Championship,1.49,1.03,56.57
129,130,VfL Bochum,German Bundesliga,1.84,1.37,56.31
130,131,Los Angeles FC,Major League Soccer,1.7,1.24,56.18
131,128,Botafogo,Brasileiro Série A,1.42,0.98,56.18
132,132,Nottingham Forest,Barclays Premier League,1.64,1.19,56.13
133,133,Sparta,Dutch Eredivisie,1.7,1.25,56.11
134,134,Middlesbrough,English League Championship,1.6,1.17,55.77
135,135,Brest,French Ligue 1,1.49,1.06,55.76
136,136,Luton Town,English League Championship,1.35,0.94,55.48
137,137,Pachuca,Mexican Primera Division Torneo Clausura,1.59,1.17,55.43
138,147,FC Midtjylland,Danish SAS-Ligaen,1.69,1.29,54.86
139,140,Viktoria Plzen,UEFA Champions League,1.82,1.41,54.85
140,139,Fortaleza,Brasileiro Série A,1.34,0.96,54.83
141,142,FC Krasnodar,Russian Premier Liga,1.7,1.31,54.61
142,141,Ferencvaros,UEFA Europa League,1.61,1.22,54.55
143,143,Internacional,Brasileiro Série A,1.37,1.02,54.14
144,149,Lokomotiv Moscow,Russian Premier Liga,1.62,1.26,54.07
145,152,Trabzonspor,Turkish Turkcell Super Lig,1.8,1.44,53.94
146,148,Real Valladolid,Spanish Primera Division,1.55,1.2,53.94
147,145,Hertha Berlin,German Bundesliga,1.71,1.36,53.89
148,146,Lorient,French Ligue 1,1.46,1.12,53.66
149,151,Molde,Norwegian Tippeligaen,1.9,1.55,53.55
150,138,Empoli,Italy Serie A,1.57,1.25,53.35
151,150,Bragantino,Brasileiro Série A,1.49,1.16,53.31
152,158,Philadelphia Union,Major League Soccer,1.63,1.3,53.29
153,144,Spartak Moscow,Russian Premier Liga,1.58,1.26,53.19
154,153,Dynamo Kiev,UEFA Europa League,1.51,1.19,53.06
155,157,Atlético Paranaense,Brasileiro Série A,1.38,1.07,53.04
156,154,Ipswich Town,English League One,1.62,1.31,52.93
157,156,Guimaraes,Portuguese Liga,1.26,0.96,52.69
158,159,Yokohama F. Marinos,Japanese J League,1.69,1.4,52.49
159,204,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.39,1.1,52.49
160,160,Anderlecht,Belgian Jupiler League,1.46,1.18,52.32
161,161,León,Mexican Primera Division Torneo Clausura,1.35,1.07,52.16
162,162,SC Dnipro-1,UEFA Europa Conference League,1.55,1.28,52.11
163,164,Atlas,Mexican Primera Division Torneo Clausura,1.41,1.14,52.07
164,165,Lech Poznan,UEFA Europa Conference League,1.42,1.15,52.07
165,166,Swansea City,English League Championship,1.5,1.23,51.93
166,167,Steaua Bucuresti,UEFA Europa Conference League,1.5,1.24,51.89
167,185,Fatih Karagümrük,Turkish Turkcell Super Lig,1.82,1.56,51.83
168,168,Terek Grozny,Russian Premier Liga,1.46,1.2,51.8
169,169,Go Ahead Eagles,Dutch Eredivisie,1.65,1.39,51.79
170,163,Corinthians,Brasileiro Série A,1.23,0.98,51.59
171,171,Vissel Kobe,Japanese J League,1.51,1.26,51.46
172,182,Cercle Brugge,Belgian Jupiler League,1.62,1.38,51.43
173,172,FC Sheriff Tiraspol,UEFA Europa League,1.51,1.27,51.36
174,173,FK Partizan Belgrade,UEFA Europa Conference League,1.41,1.17,51.22
175,174,Nantes,French Ligue 1,1.35,1.11,51.13
176,155,LASK Linz,Austrian T-Mobile Bundesliga,1.53,1.3,51.11
177,170,Vasco da Gama,Brasileiro Série A,1.44,1.21,51.08
178,175,Coventry City,English League Championship,1.28,1.06,51.0
179,177,Santos,Brasileiro Série A,1.29,1.06,50.98
180,176,PAOK Salonika,Greek Super League,1.4,1.18,50.89
181,178,Guadalajara,Mexican Primera Division Torneo Clausura,1.35,1.13,50.82
182,194,Talleres de Córdoba,Argentina Primera Division,1.39,1.18,50.57
183,180,Famalicao,Portuguese Liga,1.44,1.24,50.35
184,179,Verona,Italy Serie A,1.37,1.18,50.3
185,181,Cruz Azul,Mexican Primera Division Torneo Clausura,1.32,1.13,50.21
186,187,Metz,French Ligue 2,1.32,1.15,49.87
187,183,Boavista,Portuguese Liga,1.39,1.22,49.86
188,184,Frosinone,Italy Serie B,1.37,1.19,49.84
189,186,Heerenveen,Dutch Eredivisie,1.66,1.49,49.81
190,190,FK Qarabag,UEFA Europa League,1.41,1.25,49.41
191,191,Maccabi Haifa,UEFA Champions League,1.69,1.54,49.35
192,192,Hapoel Be'er,UEFA Europa Conference League,1.49,1.34,49.22
193,197,FK Austria Vienna,Austrian T-Mobile Bundesliga,1.66,1.53,48.91
194,193,Spezia,Italy Serie A,1.45,1.32,48.74
195,223,Malmo FF,Swedish Allsvenskan,1.55,1.43,48.73
196,198,NEC,Dutch Eredivisie,1.54,1.41,48.69
197,211,Cruzeiro,Brasileiro Série A,1.32,1.2,48.63
198,199,Toluca,Mexican Primera Division Torneo Clausura,1.56,1.44,48.62
199,188,Salernitana,Italy Serie A,1.48,1.36,48.6
200,201,West Bromwich Albion,English League Championship,1.37,1.25,48.56
201,202,Gil Vicente,Portuguese Liga,1.36,1.24,48.55
202,189,Rapid Vienna,Austrian T-Mobile Bundesliga,1.58,1.47,48.53
203,203,Chaves,Portuguese Liga,1.4,1.29,48.45
204,196,Konyaspor,Turkish Turkcell Super Lig,1.32,1.21,48.43
205,216,Argentinos Juniors,Argentina Primera Division,1.26,1.14,48.43
206,195,Auxerre,French Ligue 1,1.33,1.21,48.38
207,207,Vizela,Portuguese Liga,1.23,1.12,48.07
208,209,Atlanta United FC,Major League Soccer,1.61,1.52,48.01
209,206,Cagliari,Italy Serie B,1.25,1.15,47.96
210,210,Santos Laguna,Mexican Primera Division Torneo Clausura,1.43,1.35,47.86
211,212,Stoke City,English League Championship,1.25,1.15,47.79
