rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,3.13,0.29,93.08
2,Argentina,CONMEBOL,2.9,0.39,90.22
3,Germany,UEFA,3.42,0.67,89.93
4,France,UEFA,2.98,0.53,88.66
5,England,UEFA,2.74,0.43,88.26
6,Spain,UEFA,2.56,0.36,87.87
7,Portugal,UEFA,2.79,0.53,87.02
8,Netherlands,UEFA,2.54,0.57,83.68
9,Belgium,UEFA,2.51,0.63,82.32
10,Colombia,CONMEBOL,2.16,0.46,81.37
11,Italy,UEFA,2.29,0.59,80.35
12,Uruguay,CONMEBOL,2.08,0.5,79.47
13,Croatia,UEFA,2.19,0.61,78.62
14,Algeria,CAF,2.17,0.61,78.16
15,Switzerland,UEFA,2.22,0.67,77.65
16,Japan,AFC,2.01,0.62,75.42
17,Czech Republic,UEFA,2.15,0.72,75.41
18,Denmark,UEFA,2.07,0.68,75.06
19,Mexico,CONCACAF,1.92,0.61,74.33
20,Canada,CONCACAF,2.05,0.7,74.3
21,Serbia,UEFA,2.21,0.81,74.28
22,Senegal,CAF,1.91,0.61,74.11
23,Ecuador,CONMEBOL,1.92,0.64,73.7
24,Morocco,CAF,1.72,0.52,73.06
25,Austria,UEFA,2.15,0.84,72.83
26,Norway,UEFA,2.0,0.74,72.45
27,USA,CONCACAF,1.91,0.69,72.36
28,South Korea,AFC,1.96,0.72,72.28
29,Chile,CONMEBOL,1.85,0.78,69.02
30,Tunisia,CAF,1.6,0.59,69.01
31,Ukraine,UEFA,1.83,0.78,68.78
32,Sweden,UEFA,2.01,0.92,68.76
33,Scotland,UEFA,1.84,0.79,68.73
34,Iran,AFC,1.75,0.72,68.52
35,Venezuela,CONMEBOL,1.83,0.8,68.21
36,Poland,UEFA,1.83,0.82,67.67
37,Peru,CONMEBOL,1.76,0.79,67.17
38,Russia,UEFA,1.87,0.9,66.74
39,Turkey,UEFA,1.98,1.0,66.45
40,Greece,UEFA,1.49,0.6,66.44
41,Egypt,CAF,1.55,0.67,65.98
42,Australia,AFC,1.66,0.81,64.71
43,Hungary,UEFA,1.69,0.84,64.46
44,Paraguay,CONMEBOL,1.7,0.88,63.87
45,Ivory Coast,CAF,1.6,0.8,63.82
46,Ireland,UEFA,1.5,0.76,62.57
47,Cameroon,CAF,1.56,0.82,62.46
48,Nigeria,CAF,1.57,0.84,62.16
49,Wales,UEFA,1.56,0.83,62.08
50,Panama,CONCACAF,1.59,0.87,61.73
51,Mali,CAF,1.45,0.75,61.63
52,Basque Country,UEFA,1.63,1.0,59.32
53,Bosnia and Herzegovina,UEFA,1.6,0.99,58.95
54,Finland,UEFA,1.56,0.97,58.64
55,Romania,UEFA,1.56,1.02,57.65
56,Uzbekistan,AFC,1.59,1.07,56.99
57,Georgia,UEFA,1.53,1.03,56.56
58,Slovenia,UEFA,1.42,0.96,55.91
59,Saudi Arabia,AFC,1.53,1.06,55.91
60,New Zealand,OFC,1.47,1.01,55.79
61,Bolivia,CONMEBOL,1.68,1.21,55.66
62,Haiti,CONCACAF,1.62,1.17,55.32
63,Ghana,CAF,1.47,1.04,55.0
64,Burkina Faso,CAF,1.29,0.89,54.54
65,Jamaica,CONCACAF,1.48,1.07,54.44
66,Montenegro,UEFA,1.3,0.91,54.18
67,Israel,UEFA,1.81,1.41,54.14
68,Northern Ireland,UEFA,1.38,0.99,54.06
69,Slovakia,UEFA,1.41,1.02,54.01
70,Kosovo,UEFA,1.6,1.23,53.44
71,North Macedonia,UEFA,1.32,0.99,52.82
72,Costa Rica,CONCACAF,1.37,1.04,52.71
73,Iceland,UEFA,1.44,1.14,52.17
74,Oman,AFC,1.25,0.95,52.01
75,Guatemala,CONCACAF,1.38,1.08,51.91
76,Albania,UEFA,1.17,0.91,51.0
77,Gabon,CAF,1.24,0.99,50.96
78,Angola,CAF,1.37,1.12,50.86
79,Iraq,AFC,1.12,0.89,50.18
80,South Africa,CAF,1.23,1.02,49.77
81,Uganda,CAF,1.16,0.98,49.19
82,Zambia,CAF,1.52,1.36,48.81
83,Equatorial Guinea,CAF,1.18,1.02,48.63
84,Cape Verde Islands,CAF,1.14,0.98,48.53
85,Congo DR,CAF,1.19,1.05,48.04
86,Qatar,AFC,1.34,1.24,47.53
87,Honduras,CONCACAF,1.34,1.24,47.36
88,Bahrain,AFC,1.33,1.26,46.78
89,El Salvador,CONCACAF,1.16,1.13,45.59
90,Guinea,CAF,1.14,1.11,45.48
91,Namibia,CAF,1.06,1.03,45.38
92,Jordan,AFC,1.08,1.08,44.8
93,Togo,CAF,1.22,1.23,44.74
94,Bulgaria,UEFA,1.23,1.3,43.51
95,Madagascar,CAF,1.3,1.42,42.6
96,United Arab Emirates,AFC,1.04,1.15,42.06
97,Mauritania,CAF,0.97,1.07,42.05
98,China,AFC,1.03,1.2,40.91
99,Trinidad and Tobago,CONCACAF,1.03,1.2,40.71
100,Ethiopia,CAF,1.07,1.25,40.46
101,Kenya,CAF,1.11,1.31,40.42
102,Swaziland,CAF,1.09,1.28,40.39
103,Libya,CAF,1.21,1.44,40.26
104,Luxembourg,UEFA,1.1,1.33,39.74
105,Estonia,UEFA,1.04,1.27,39.49
106,Benin,CAF,0.93,1.15,39.28
107,Guinea-Bissau,CAF,1.05,1.3,39.16
108,Vietnam,AFC,0.97,1.2,39.1
109,Palestine,AFC,1.08,1.34,38.81
110,Armenia,UEFA,1.2,1.5,38.76
