season,date,league_id,league,team1,team2,spi1,spi2,prob1,prob2,probtie,proj_score1,proj_score2,importance1,importance2,score1,score2,xg1,xg2,nsxg1,nsxg2,adj_score1,adj_score2
2019,2019-01-02,1929,International Match,Thailand,Oman,31.12,37.36,0.3724,0.2706,0.357,0.99,0.79,,,0,2,,,,,,
2019,2019-01-05,1933,AFC Asian Cup,United Arab Emirates,Bahrain,37.82,40.38,0.4055,0.1743,0.4202,0.84,0.44,,,1,1,2.29,1.63,0.96,0.59,1.05,1.05
2019,2019-01-06,1933,AFC Asian Cup,Australia,Jordan,68.22,42.06,0.6973,0.0633,0.2394,1.69,0.32,,,0,1,1.45,0.5,2.59,0.44,0.0,1.05
2019,2019-01-06,1933,AFC Asian Cup,Thailand,India,29.21,17.97,0.6167,0.1209,0.2623,1.64,0.57,,,1,4,0.8,1.54,0.89,0.83,1.05,3.94
2019,2019-01-06,1933,AFC Asian Cup,Syria,Palestine,50.32,30.05,0.685,0.1061,0.2088,2.09,0.68,,,0,0,0.98,0.1,1.08,0.02,0.0,0.0
2019,2019-01-07,1933,AFC Asian Cup,China,Kyrgyzstan,49.85,24.93,0.6985,0.0437,0.2578,1.54,0.2,,,2,1,0.85,0.87,1.63,1.1,2.1,1.05
2019,2019-01-07,1933,AFC Asian Cup,South Korea,Philippines,65.01,20.26,0.9101,0.0119,0.078,2.99,0.2,,,1,0,1.0,0.31,3.19,0.42,1.05,0.0
2019,2019-01-07,1933,AFC Asian Cup,Iran,Yemen,67.73,16.69,0.8014,0.0278,0.1708,2.05,0.2,,,5,0,3.15,0.26,1.66,0.04,5.05,0.0
2019,2019-01-08,1933,AFC Asian Cup,Iraq,Vietnam,49.83,25.88,0.7113,0.0553,0.2334,1.71,0.29,,,3,2,1.55,0.59,1.64,0.4,3.15,2.1
2019,2019-01-08,1933,AFC Asian Cup,Saudi Arabia,North Korea,50.71,37.82,0.5967,0.1441,0.2592,1.69,0.69,,,4,0,1.2,0.54,1.85,0.4,3.43,0.0
2019,2019-01-09,1933,AFC Asian Cup,Japan,Turkmenistan,72.99,27.34,0.8928,0.0143,0.0928,2.79,0.2,,,3,2,2.25,1.47,3.01,0.76,3.13,2.1
2019,2019-01-09,1933,AFC Asian Cup,Uzbekistan,Oman,52.18,39.23,0.5603,0.0803,0.3594,1.12,0.25,,,2,1,0.77,2.03,0.37,1.27,2.1,1.05
2019,2019-01-09,1933,AFC Asian Cup,Qatar,Lebanon,50.44,32.76,0.6198,0.0904,0.2898,1.43,0.37,,,2,0,1.59,0.23,1.58,0.46,1.88,0.0
2019,2019-01-10,1933,AFC Asian Cup,Bahrain,Thailand,40.52,25.62,0.6298,0.1147,0.2555,1.68,0.55,,,0,1,1.45,1.0,0.93,0.9,0.0,1.05
2019,2019-01-10,1933,AFC Asian Cup,Jordan,Syria,43.28,49.69,0.4019,0.2498,0.3483,1.06,0.77,,,2,0,2.01,0.75,1.17,1.43,2.1,0.0
2019,2019-01-10,1933,AFC Asian Cup,India,United Arab Emirates,20.65,37.9,0.1473,0.5076,0.3451,0.48,1.16,,,0,2,0.97,0.41,1.04,0.96,0.0,1.63
2019,2019-01-11,1933,AFC Asian Cup,Palestine,Australia,30.47,67.01,0.1442,0.6292,0.2265,0.84,2.01,,,0,3,0.24,1.87,0.58,1.56,0.0,2.65
2019,2019-01-11,1933,AFC Asian Cup,Philippines,China,21.1,47.66,0.1938,0.5367,0.2694,0.88,1.64,,,0,3,0.25,1.94,0.25,1.5,0.0,2.89
2019,2019-01-11,1933,AFC Asian Cup,Kyrgyzstan,South Korea,26.74,63.88,0.1355,0.5868,0.2776,0.59,1.54,,,0,1,0.97,2.22,0.53,2.03,0.0,1.05
2019,2019-01-12,1933,AFC Asian Cup,Vietnam,Iran,26.87,69.04,0.1036,0.6542,0.2422,0.54,1.76,,,0,2,0.51,1.53,0.41,2.49,0.0,2.1
2019,2019-01-12,1933,AFC Asian Cup,Yemen,Iraq,15.9,48.71,0.1323,0.5669,0.3008,0.52,1.39,,,0,3,0.07,0.77,0.16,1.19,0.0,2.63
2019,2019-01-12,1933,AFC Asian Cup,Lebanon,Saudi Arabia,32.17,52.08,0.2626,0.35,0.3874,0.7,0.85,,,0,2,0.15,1.16,0.2,1.31,0.0,2.1
2019,2019-01-13,1933,AFC Asian Cup,North Korea,Qatar,36.55,51.23,0.3216,0.3995,0.2789,1.28,1.46,,,0,6,0.22,1.67,0.99,1.33,0.0,6.3
