,team_id,Team,Gialli,Rossi,DoppioGiallo,Falli,FalliSubiti
0,9875,Napoli,47,1,0,389,468
1,8543,Lazio,85,2,0,400,471
2,9885,Juventus,74,6,1,456,409
3,8636,Inter,65,3,2,444,406
4,8524,Atalanta,83,3,1,470,385
5,8564,Milan,90,2,2,449,438
6,8686,Roma,82,4,2,446,505
7,8535,Fiorentina,93,3,2,488,511
8,9857,Bologna,84,3,2,477,426
9,6504,Monza,90,4,1,489,495
10,9804,Torino,81,0,0,506,382
11,7943,Sassuolo,90,6,3,408,443
12,8600,Udinese,87,3,1,478,476
13,6480,Salernitana,85,4,1,473,439
14,8534,Empoli,88,7,3,441,459
15,9888,Lecce,86,2,1,553,439
16,9876,Hellas Verona,103,3,0,540,383
17,9881,Spezia,104,6,4,519,379
18,7801,Cremonese,81,3,0,458,407
19,9882,Sampdoria,108,3,2,507,512
