,team_id,Squad,Gls,xG,G-xG
0,8524,Atalanta,64,57.7,+6.3
1,9857,Bologna,52,43.8,+8.2
2,7801,Cremonese,35,38.7,-3.7
3,8534,Empoli,35,38.8,-3.8
4,8535,Fiorentina,51,55.0,-4.0
5,9876,Hellas Verona,29,35.8,-6.8
6,8636,Inter,68,68.0,0
7,9885,Juventus,56,55.3,+0.7
8,8543,Lazio,59,51.1,+7.9
9,9888,Lecce,31,36.1,-5.1
10,8564,Milan,61,58.8,+2.2
11,6504,Monza,46,45.9,+0.1
12,9875,Napoli,75,64.7,+10.3
13,8686,Roma,50,57.4,-7.4
14,6480,Salernitana,46,36.7,+9.3
15,9882,Sampdoria,23,34.1,-11.1
16,7943,Sassuolo,46,51.6,-5.6
17,9881,Spezia,29,41.5,-12.5
18,9804,Torino,41,41.8,-0.8
19,8600,Udinese,46,46.9,-0.9
