Rk	Player	Nation	Pos	Squad	Age	Born	90s	GA	PKA	FK	CK	OG	PSxG	PSxG/SoT	PSxG+/-	/90	Cmp	Att	Cmp%	Att	Thr	Launch%	AvgLen	Att	Launch%	AvgLen	Opp	Stp	Stp%	#OPA	#OPA/90	AvgDist	Matches
1	Mattia Perin	it ITA	GK	Juventus	30-204	1992	10.5	7	1	0	1	0	11.2	0.23	+4.2	+0.39	32	107	29.9	287	54	28.6	30.8	63	39.7	35.9	154	4	2.6	11	1.04	15.7	Matches
2	Luigi Sepe	it ITA	GK	Salernitana	32-025	1991	17.0	27	4	0	0	0	30.3	0.27	+3.3	+0.20	76	274	27.7	490	84	40.6	35.9	154	48.7	41.1	222	16	7.2	13	0.76	14.2	Matches
3	Michele Di Gregorio	it ITA	GK	Monza	25-310	1997	36.0	44	3	1	4	1	45.9	0.28	+2.9	+0.08	159	463	34.3	1199	225	31.0	32.6	243	37.4	35.0	530	14	2.6	29	0.81	13.2	Matches
4	Łukasz Skorupski	pl POL	GK	Bologna	32-028	1991	36.0	47	7	1	6	3	46.6	0.25	+2.6	+0.07	144	359	40.1	908	200	29.5	31.7	266	34.2	33.3	473	27	5.7	24	0.67	13.0	Matches
5	Guillermo Ochoa	mx MEX	GK	Salernitana	37-324	1985	19.0	31	2	1	6	0	33.4	0.30	+2.4	+0.12	132	418	31.6	509	41	56.2	41.9	195	67.7	48.2	300	11	3.7	9	0.47	11.8	Matches
6	Ivan Provedel	it ITA	GK	Lazio	29-077	1994	36.9	30	1	0	5	1	31.3	0.25	+2.3	+0.06	157	370	42.4	1094	162	27.8	32.5	196	33.7	33.4	479	20	4.2	54	1.46	16.6	Matches
7	Marco Silvestri	it ITA	GK	Udinese	32-092	1991	37.0	47	6	2	3	2	46.9	0.31	+1.9	+0.05	135	368	36.7	845	134	31.7	32.0	289	34.6	34.5	523	12	2.3	21	0.57	12.4	Matches
8	Wladimiro Falcone	it ITA	GK	Lecce	28-051	1995	37.0	43	5	2	6	3	41.3	0.24	+1.3	+0.04	184	705	26.1	854	139	56.8	42.1	279	78.9	53.4	524	23	4.4	42	1.14	14.1	Matches
9	Guglielmo Vicario	it ITA	GK	Empoli	26-238	1996	30.0	38	4	0	7	1	38.2	0.27	+1.2	+0.04	138	452	30.5	1077	146	34.1	34.1	167	50.9	43.1	593	34	5.7	22	0.73	11.6	Matches
11	Alex Meret	it ITA	GK	Napoli	26-072	1997	33.0	24	1	0	1	0	24.6	0.26	+0.6	+0.02	56	145	38.6	718	118	14.6	26.2	195	20.5	27.0	329	11	3.3	38	1.15	16.9	Matches
