,Club,"Lordo Settimanale(EUR, 000's)","Lordo Annuale(EUR, 000's)","Lordo Corretto Infl.(EUR, 000's)","Porta(EUR, 000's)","Difesa(EUR, 000's)","Centrocampo(EUR, 000's)","Attacco(EUR, 000's)"
0,Juventus,"€ 3,132","€ 162,850","€ 162,850","€ 15,380","€ 48,650","€ 57,550","€ 41,270"
1,Inter Milan,"€ 2,568","€ 133,540","€ 133,540","€ 8,760","€ 34,510","€ 41,790","€ 48,480"
2,Roma,"€ 1,730","€ 89,950","€ 89,950","€ 5,500","€ 31,340","€ 18,170","€ 34,940"
3,AC Milan,"€ 1,686","€ 87,660","€ 87,660","€ 6,740","€ 31,290","€ 22,850","€ 26,780"
4,Napoli,"€ 1,383","€ 71,936","€ 71,936","€ 4,420","€ 20,920","€ 21,926","€ 24,670"
5,Lazio,"€ 1,327","€ 69,010","€ 69,010","€ 3,320","€ 23,420","€ 22,640","€ 19,630"
6,Fiorentina,€ 968,"€ 50,330","€ 50,330","€ 3,150","€ 14,110","€ 12,850","€ 20,220"
7,Atalanta,€ 754,"€ 39,227","€ 39,227","€ 4,260","€ 15,380","€ 6,367","€ 13,220"
8,Monza,€ 734,"€ 38,167","€ 38,167","€ 3,110","€ 16,660","€ 7,790","€ 10,607"
9,Torino,€ 695,"€ 36,136","€ 36,136","€ 3,306","€ 11,670","€ 7,310","€ 13,850"
10,Salernitana,€ 666,"€ 34,606","€ 34,606","€ 2,910","€ 14,300","€ 8,706","€ 8,690"
11,Bologna,€ 627,"€ 32,588","€ 32,588","€ 3,082","€ 11,156","€ 5,940","€ 12,410"
12,Sassuolo,€ 583,"€ 30,300","€ 30,300","€ 2,890","€ 6,590","€ 3,850","€ 16,970"
13,Lecce,€ 574,"€ 29,824","€ 29,824",€ 878,"€ 20,140","€ 3,346","€ 5,460"
14,Empoli,€ 515,"€ 26,773","€ 26,773","€ 1,990","€ 8,257","€ 8,306","€ 8,220"
15,Spezia,€ 510,"€ 26,496","€ 26,496","€ 3,230","€ 6,650","€ 6,236","€ 10,380"
16,Sampdoria,€ 459,"€ 23,883","€ 23,883","€ 1,763","€ 11,050","€ 3,860","€ 7,210"
17,Hellas Verona,€ 422,"€ 21,950","€ 21,950","€ 1,420","€ 6,920","€ 3,550","€ 10,060"
18,Udinese,€ 392,"€ 20,382","€ 20,382","€ 2,276","€ 7,390","€ 3,980","€ 6,736"
19,Cremonese,€ 331,"€ 17,196","€ 17,196",€ 780,"€ 5,750","€ 6,396","€ 4,270"
20,Total,"€ 20,056","€ 1,042,804","€ 1,042,804","€ 79,165","€ 346,153","€ 273,413","€ 344,073"
