Rk	Player	Nation	Pos	Squad	Age	Born	90s	Tkl	TklW	Def 3rd	Mid 3rd	Att 3rd	Tkl	Att	Tkl%	Lost	Blocks	Sh	Pass	Int	Tkl+Int	Clr	Err	Matches
1	James Abankwah	ie IRL	DF	Udinese	19-137	2004	0.1	1	1	0	1	0	0	0		0	0	0	0	0	1	0	0	Matches
2	Oliver Abildgaard	dk DEN	MF	Hellas Verona	26-357	1996	6.5	9	6	5	3	1	6	14	42.9	8	7	1	6	5	14	17	0	Matches
3	Tammy Abraham	eng ENG	FW	Roma	25-243	1997	24.1	17	10	4	8	5	3	15	20.0	12	10	4	6	3	20	14	0	Matches
4	Christian Acella	it ITA	MF	Cremonese	20-330	2002	0.2	1	0	1	0	0	0	2	0.0	2	0	0	0	0	1	0	0	Matches
5	Francesco Acerbi	it ITA	DF	Inter	35-112	1988	26.6	33	19	22	7	4	20	27	74.1	7	23	16	7	41	74	83	2	Matches
6	Yacine Adli	fr FRA	MF,FW	Milan	22-308	2000	1.6	6	3	2	4	0	2	2	100.0	0	2	0	2	1	7	1	0	Matches
7	Michel Aebischer	ch SUI	FW,MF	Bologna	26-147	1997	16.1	12	6	3	6	3	2	17	11.8	15	13	2	11	7	19	9	0	Matches
8	Felix Afena-Gyan	gh GHA	FW,MF	Cremonese	20-134	2003	9.1	7	3	4	1	2	2	10	20.0	8	5	1	4	1	8	6	0	Matches
9	Kevin Agudelo	co COL	MF,FW	Spezia	24-200	1998	23.7	71	38	22	30	19	25	59	42.4	34	39	5	34	10	81	6	0	Matches
10	Ola Aina	ng NGA	DF	Torino	26-237	1996	9.3	16	12	5	8	3	9	15	60.0	6	12	2	10	10	26	26	0	Matches
11	Emanuel Aiwum	at AUT	DF	Cremonese	22-159	2000	17.4	54	33	35	17	2	32	46	69.6	14	28	16	12	24	78	51	3	Matches
12	Jean-Daniel Akpa-Akpro	ci CIV	MF,FW	Empoli	30-234	1992	14.1	50	34	24	19	7	20	37	54.1	17	34	4	30	13	63	26	0	Matches
13	Luis Alberto	es ESP	MF	Lazio	30-247	1992	26.1	45	27	18	18	9	21	70	30.0	49	32	6	26	9	54	4	0	Matches
14	Agustín Álvarez Martínez	uy URU	FW,MF	Sassuolo	22-014	2001	4.1	6	3	0	5	1	1	4	25.0	3	5	1	4	3	9	3	0	Matches
15	Kelvin Amian	fr FRA	DF	Spezia	25-114	1998	25.4	52	31	31	12	9	23	30	76.7	7	33	12	21	22	74	82	1	Matches
16	Bruno Amione	ar ARG	DF	Hellas Verona	21-150	2002	0.6	1	1	1	0	0	1	2	50.0	1	1	0	1	0	1	4	0	Matches
17	Bruno Amione	ar ARG	DF	Sampdoria	21-150	2002	22.2	47	30	33	14	0	17	41	41.5	24	24	11	13	22	69	57	1	Matches
18	Ethan Ampadu	wls WAL	DF,MF	Spezia	22-261	2000	28.3	65	36	32	28	5	16	39	41.0	23	45	22	23	34	99	90	0	Matches
19	Sofyan Amrabat	ma MAR	MF	Fiorentina	26-285	1996	21.3	38	24	14	17	7	16	28	57.1	12	22	5	17	21	59	16	2	Matches
20	Felipe Anderson	br BRA	FW	Lazio	30-048	1993	31.9	76	47	29	40	7	28	82	34.1	54	54	6	48	28	104	27	0	Matches
21	Janis Antiste	fr FRA	FW	Sassuolo	20-288	2002	0.6	1	0	1	0	0	1	1	100.0	0	0	0	0	0	1	0	0	Matches
22	Marcos Antônio	br BRA	MF	Lazio	22-354	2000	6.6	9	6	4	5	0	9	20	45.0	11	7	2	5	11	20	18	0	Matches
23	Valentin Antov	bg BUL	DF	Monza	22-205	2000	3.3	6	5	3	3	0	1	5	20.0	4	5	4	1	2	8	12	1	Matches
24	Marko Arnautović	at AUT	FW	Bologna	34-044	1989	16.2	9	6	2	5	2	1	6	16.7	5	11	1	10	2	11	9	0	Matches
25	Tolgay Arslan	de GER	MF	Udinese	32-290	1990	12.9	26	17	11	14	1	12	35	34.3	23	19	0	19	12	38	9	1	Matches
