,Player,Nation,Pos,Squad,90s,Att,Succ,Succ%,NoCol,player_id
1,James Abankwah,ie IRL,DF,Udinese,0.1,10.0,10.0,100.0,4b7a9fcc
2,Oliver Abildgaard,dk DEN,MF,Hellas Verona,6.3,0.16,0.16,100.0,8f5cdf66
3,Tammy Abraham,eng ENG,FW,Roma,24.0,2.79,0.92,32.8,f586779e
4,Christian Acella,it ITA,MF,Cremonese,0.2,0.00,0.00,,771a2cfe
5,Francesco Acerbi,it ITA,DF,Inter,25.6,0.47,0.27,58.3,b96b595c
6,Yacine Adli,fr FRA,MFFW,Milan,1.6,3.75,2.50,66.7,26777636
7,Michel Aebischer,ch SUI,FWMF,Bologna,15.5,0.77,0.32,41.7,f9c927de
8,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,9.1,2.75,0.77,28.0,0154d290
9,Kevin Agudelo,co COL,MFFW,Spezia,23.2,4.57,2.16,47.2,46fa7204,1039220
10,Ola Aina,ng NGA,DF,Torino,9.3,4.84,2.47,51.1,246d153b
11,Emanuel Aiwum,at AUT,DF,Cremonese,17.4,0.57,0.17,30.0,d810c13b
12,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,13.2,3.33,2.05,61.4,fdf4b948
13,Luis Alberto,es ESP,MF,Lazio,25.1,1.51,0.68,44.7,5294a83f
14,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,4.1,4.15,1.71,41.2,ab472696
15,Kelvin Amian,fr FRA,DF,Spezia,24.4,1.23,0.66,53.3,bcc81786
16,Bruno Amione,ar ARG,DF,Hellas Verona,0.6,0.00,0.00,,2df7cc43
17,Bruno Amione,ar ARG,DF,Sampdoria,21.7,0.41,0.09,22.2,2df7cc43
18,Ethan Ampadu,wls WAL,DFMF,Spezia,27.6,0.40,0.29,72.7,10b9fa99
19,Sofyan Amrabat,ma MAR,MF,Fiorentina,21.3,0.80,0.56,70.6,5a2cb25d
20,Felipe Anderson,br BRA,FW,Lazio,31.5,3.17,1.59,50.0,9f1893b9
21,Janis Antiste,fr FRA,FW,Sassuolo,0.6,1.67,0.00,0.0,38d9ce53
22,Marcos Antônio,br BRA,MF,Lazio,6.6,0.76,0.61,80.0,108fe016
23,Valentin Antov,bg BUL,DF,Monza,3.3,0.30,0.30,100.0,8f68aa41
24,Marko Arnautović,at AUT,FW,Bologna,15.5,1.68,0.84,50.0,00459419
25,Tolgay Arslan,de GER,MF,Udinese,12.8,2.58,1.09,42.4,963a328b
26,Arthur,br BRA,FW,Fiorentina,14.9,2.28,0.94,41.2,a820e429
27,Santiago Ascacíbar,ar ARG,MF,Cremonese,8.1,1.11,0.49,44.4,e26fcca3
28,Kristoffer Askildsen,no NOR,MF,Lecce,7.4,0.81,0.41,50.0,a69cc629
29,Kristjan Asllani,al ALB,MF,Inter,6.4,0.78,0.31,40.0,0fdcef0e
30,Emil Audero,it ITA,GK,Sampdoria,25.0,0.00,0.00,,649b01d8
31,Tommaso Augello,it ITA,DF,Sampdoria,32.0,1.91,1.03,54.1,3cd3b384
32,Kaan Ayhan,tr TUR,DF,Sassuolo,6.1,0.00,0.00,,2200181e
33,Jaime Báez,uy URU,DF,Cremonese,1.1,1.82,0.91,50.0,dfd24c07
34,Nedim Bajrami,al ALB,MFFW,Empoli,10.4,2.98,1.06,35.5,f42d6c13
35,Nedim Bajrami,al ALB,FW,Sassuolo,8.4,3.57,2.02,56.7,f42d6c13
36,Tiemoué Bakayoko,fr FRA,MF,Milan,0.5,6.00,2.00,33.3,59bf127b
37,Tommaso Baldanzi,it ITA,MF,Empoli,19.7,3.05,1.17,38.3,102e2599
38,Fodé Ballo-Touré,sn SEN,DF,Milan,5.7,2.63,0.88,33.3,f449640d
39,Lameck Banda,zm ZAM,FWMF,Lecce,16.6,6.27,2.59,41.3,8a6de8c7
40,Filippo Bandinelli,it ITA,MF,Empoli,24.3,1.73,0.62,35.7,d44360be
41,Antonín Barák,cz CZE,MF,Hellas Verona,0.3,6.67,3.33,50.0,01efac19
42,Antonín Barák,cz CZE,MF,Fiorentina,19.0,1.84,0.84,45.7,01efac19
43,Andrea Barberis,it ITA,MF,Monza,3.8,0.00,0.00,,32ebfe1e
44,Tommaso Barbieri,it ITA,DF,Juventus,1.2,2.50,0.83,33.3,6f1d7aa8
45,Francesco Bardi,it ITA,GK,Bologna,1.0,0.00,0.00,,0acda699
46,Nicolò Barella,it ITA,MF,Inter,27.7,2.49,1.44,58.0,6928979a
47,Enzo Barrenechea,ar ARG,MF,Juventus,1.8,0.56,0.00,0.0,6caffe81
48,Musa Barrow,gm GAM,FWMF,Bologna,20.5,3.32,1.17,35.3,e5bf73f3
49,Federico Baschirotto,it ITA,DF,Lecce,35.0,0.14,0.09,60.0,5a08ee41
50,Toma Bašić,hr CRO,MF,Lazio,5.7,1.40,0.53,37.5,80556f08
51,Alberto Basso,it ITA,MF,Cremonese,0.2,0.00,0.00,,2ce215f2
52,Alessandro Bastoni,it ITA,DF,Inter,22.4,0.63,0.31,50.0,75b86fb3
53,Simone Bastoni,it ITA,MFDF,Spezia,13.1,1.53,0.53,35.0,1ac232b8
54,Brian Bayeye,fr FRA,DF,Torino,0.7,2.86,2.86,100.0,78e6bf2c
55,Rodrigo Becão,br BRA,DF,Udinese,27.6,0.36,0.18,50.0,19e4eab9
56,Julius Beck,dk DEN,MF,Spezia,0.1,0.00,0.00,,e892c325
57,Raoul Bellanova,it ITA,DF,Inter,5.3,2.26,1.32,58.3,e3756e72
58,Andrea Belotti,it ITA,FW,Roma,11.0,2.91,0.64,21.9,d705ba44
59,Marco Benassi,it ITA,DF,Fiorentina,1.0,1.00,0.00,0.0,0000acda
60,Marco Benassi,it ITA,MF,Cremonese,11.1,0.81,0.72,88.9,0000acda
61,Ismaël Bennacer,dz ALG,MF,Milan,22.3,2.20,1.21,55.1,db092d3b
62,Domenico Berardi,it ITA,FW,Sassuolo,18.8,2.55,1.17,45.8,53a0e358
63,Bartosz Bereszyński,pl POL,DF,Sampdoria,13.3,1.13,0.30,26.7,61b3978f
64,Bartosz Bereszyński,pl POL,DF,Napoli,0.7,2.86,1.43,50.0,61b3978f
65,Beto,gw GNB,FW,Udinese,22.5,3.20,1.38,43.1,ed5c0319
66,Matteo Bianchetti,it ITA,DF,Cremonese,21.8,0.14,0.09,66.7,b3a20f18
67,Alessandro Bianco,it ITA,MF,Fiorentina,1.6,1.25,0.00,0.0,d65cf468
68,Jaka Bijol,si SVN,DF,Udinese,29.3,0.17,0.07,40.0,6fdac234
69,Cristiano Biraghi,it ITA,DF,Fiorentina,27.8,0.72,0.25,35.0,9e1577aa
70,Samuele Birindelli,it ITA,DF,Monza,14.8,1.35,0.74,55.0,204ac005
71,Kristijan Bistrović,hr CRO,MF,Lecce,5.1,0.20,0.20,100.0,79370f8c
72,Alexis Blin,fr FRA,MF,Lecce,24.4,0.45,0.20,45.5,c69ef855
73,Jeremie Boga,ci CIV,MFFW,Atalanta,8.7,10.9,5.52,50.5,fe012aca
74,Emil Bohinen,no NOR,MF,Salernitana,8.4,1.55,0.60,38.5,c83c203f
75,Giacomo Bonaventura,it ITA,MF,Fiorentina,20.9,2.54,1.05,41.5,d995ed27
76,Federico Bonazzoli,it ITA,FWMF,Salernitana,12.4,1.85,0.97,52.2,bf57eaab
77,Warren Bondo,fr FRA,MF,Monza,0.7,5.71,4.29,75.0,0def2376
78,Kevin Bonifazi,it ITA,DF,Bologna,8.2,0.61,0.37,60.0,fb77bfef
79,Leonardo Bonucci,it ITA,DF,Juventus,8.7,0.11,0.11,100.0,52ec54d0
80,Erik Botheim,no NOR,MFFW,Salernitana,8.4,0.71,0.24,33.3,3d13d9e4
81,Mehdi Bourabia,ma MAR,MF,Spezia,29.3,2.08,0.92,44.3,0d077b88
82,Edoardo Bove,it ITA,MFDF,Roma,9.3,1.08,0.54,50.0,ae94a6c5
83,Jayden Braaf,nl NED,MFFW,Hellas Verona,3.2,7.50,4.69,62.5,c609e90e
84,Domagoj Bradarić,hr CRO,DF,Salernitana,24.8,2.02,0.69,34.0,8bbe2df5
85,Josip Brekalo,hr CRO,FWMF,Fiorentina,2.5,4.00,2.40,60.0,d4a2533d
86,Gleison Bremer,br BRA,DF,Juventus,28.4,0.25,0.11,42.9,5fd5ed86
87,Dylan Bronn,tn TUN,DF,Salernitana,17.7,0.62,0.34,54.5,edd81e2a
88,Marcelo Brozović,hr CRO,MF,Inter,17.7,1.36,0.85,62.5,33b8d077
89,Cristian Buonaiuto,it ITA,MFFW,Cremonese,10.0,4.70,2.00,42.6,f3a9fa26
90,Alessandro Buongiorno,it ITA,DF,Torino,28.2,0.53,0.21,40.0,4ae67f27
91,Juan Cabal,co COL,DF,Hellas Verona,3.5,0.86,0.57,66.7,ef6eef89
92,Liberato Cacace,nz NZL,DF,Empoli,4.5,2.89,1.11,38.5,dd86e8e4
93,Davide Calabria,it ITA,DF,Milan,16.9,0.77,0.18,23.1,2146785a
94,Mattia Caldara,it ITA,DF,Spezia,13.9,0.36,0.14,40.0,ac7e640b
95,Luca Caldirola,it ITA,DF,Monza,25.1,0.12,0.04,33.3,226008f1
96,Hakan Çalhanoğlu,tr TUR,MF,Inter,24.7,0.93,0.32,34.8,cd0fa27b
97,Mohamed Camara,gn GUI,MF,Roma,7.7,1.69,0.91,53.8,13ea2544
98,Nicolò Cambiaghi,it ITA,FWMF,Empoli,12.3,3.82,1.46,38.3,91ff775f
99,Andrea Cambiaso,it ITA,DF,Bologna,22.1,2.49,1.27,50.9,247ed022
100,Matteo Cancellieri,it ITA,FW,Lazio,2.8,3.21,1.07,33.3,b6a1cdf9
101,Antonio Candreva,it ITA,DFMF,Salernitana,28.3,1.06,0.25,23.3,356c9002
102,Gianluca Caprari,it ITA,MFFW,Monza,25.6,3.32,1.41,42.4,54e53b7e
103,Francesco Caputo,it ITA,FW,Sampdoria,12.2,0.74,0.25,33.3,5bd72174
