Team,Data,Valore
Napoli,15/ago/2022,434.68
Juventus,15/ago/2022,518.90
Inter,15/ago/2022,610.00
Lazio,15/ago/2022,279.70
Milan,15/ago/2022,512.55
Roma,15/ago/2022,401.85
Atalanta,15/ago/2022,333.80
Fiorentina,15/ago/2022,249.75

Napoli,1/ott/2022,480.55
Juventus,1/ott/2022,502.40
Inter,1/ott/2022,592.95
Lazio,1/ott/2022,254.85
Milan,1/ott/2022,550.55
Roma,1/ott/2022,393.35
Atalanta,1/ott/2022,346.00
Fiorentina,1/ott/2022,260.15

Napoli,15/nov/2022,539.80
Juventus,15/nov/2022,452.30
Inter,15/nov/2022,556.45
Lazio,15/nov/2022,256.05
Milan,15/nov/2022,569.05
Roma,15/nov/2022,365.55
Atalanta,15/nov/2022,327.20
Fiorentina,15/nov/2022,229.25

Napoli,1/gen/2023,539.80
Juventus,1/gen/2023,465.80
Inter,1/gen/2023,560.25
Lazio,1/gen/2023,254.65
Milan,1/gen/2023,574.05
Roma,1/gen/2023,365.55
Atalanta,1/gen/2023,327.20
Fiorentina,1/gen/2023,244.25

Napoli,15/feb/2023,543.00
Juventus,15/feb/2023,442.30
Inter,15/feb/2023,555.95
Lazio,15/feb/2023,254.40
Milan,15/feb/2023,571.40
Roma,15/feb/2023,338.75
Atalanta,15/feb/2023,307.50
Fiorentina,15/feb/2023,235.75

Napoli,1/apr/2023,629.00
Juventus,1/apr/2023,420.70
Inter,1/apr/2023,534.45
Lazio,1/apr/2023,274.90
Milan,1/apr/2023,547.25
Roma,1/apr/2023,317.15
Atalanta,1/apr/2023,329.50
Fiorentina,1/apr/2023,236.30

Napoli,15/mag/2023,629.00
Juventus,15/mag/2023,420.70
Inter,15/mag/2023,534.45
Lazio,15/mag/2023,274.15
Milan,15/mag/2023,547.25
Roma,15/mag/2023,317.15
Atalanta,15/mag/2023,329.50
Fiorentina,15/mag/2023,236.30
