Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	Dist	FK	PK	PKatt	xG	npxG	npxG/Sh	G-xG	np:G-xG	Matches
1	James Abankwah	ie IRL	DF	Udinese	19-135	2004	0.1	0	0	0		0.00	0.00				0	0	0	0.0	0.0		0.0	0.0	Matches
2	Oliver Abildgaard	dk DEN	MF	Hellas Verona	26-355	1996	6.5	0	3	2	66.7	0.46	0.31	0.00	0.00	14.0	0	0	0	0.1	0.1	0.05	-0.1	-0.1	Matches
3	Tammy Abraham	eng ENG	FW	Roma	25-241	1997	24.1	8	62	28	45.2	2.57	1.16	0.13	0.29	12.0	0	0	0	10.8	10.8	0.17	-2.8	-2.8	Matches
4	Christian Acella	it ITA	MF	Cremonese	20-328	2002	0.2	0	0	0		0.00	0.00				0	0	0	0.0	0.0		0.0	0.0	Matches
5	Francesco Acerbi	it ITA	DF	Inter	35-110	1988	26.6	0	18	2	11.1	0.68	0.08	0.00	0.00	15.9	0	0	0	1.0	1.0	0.06	-1.0	-1.0	Matches
6	Yacine Adli	fr FRA	MF,FW	Milan	22-306	2000	1.6	0	2	2	100.0	1.25	1.25	0.00	0.00	18.5	0	0	0	0.1	0.1	0.04	-0.1	-0.1	Matches
7	Michel Aebischer	ch SUI	FW,MF	Bologna	26-145	1997	16.1	1	15	2	13.3	0.93	0.12	0.07	0.50	17.1	1	0	0	1.5	1.5	0.10	-0.5	-0.5	Matches
8	Felix Afena-Gyan	gh GHA	FW,MF	Cremonese	20-132	2003	9.1	0	21	2	9.5	2.32	0.22	0.00	0.00	18.7	0	0	0	1.9	1.9	0.09	-1.9	-1.9	Matches
9	Kevin Agudelo	co COL	MF,FW	Spezia	24-198	1998	23.7	0	28	7	25.0	1.18	0.30	0.00	0.00	21.4	0	0	0	1.5	1.5	0.05	-1.5	-1.5	Matches
10	Ola Aina	ng NGA	DF	Torino	26-235	1996	9.3	1	7	3	42.9	0.75	0.32	0.14	0.33	16.1	0	0	0	0.7	0.7	0.11	+0.3	+0.3	Matches
11	Emanuel Aiwum	at AUT	DF	Cremonese	22-157	2000	17.4	0	3	1	33.3	0.17	0.06	0.00	0.00	17.7	0	0	0	0.2	0.2	0.05	-0.2	-0.2	Matches
12	Jean-Daniel Akpa-Akpro	ci CIV	MF,FW	Empoli	30-232	1992	14.1	1	13	5	38.5	0.92	0.36	0.08	0.20	20.3	0	0	0	1.4	1.4	0.11	-0.4	-0.4	Matches
13	Luis Alberto	es ESP	MF	Lazio	30-245	1992	26.1	5	43	15	34.9	1.65	0.57	0.09	0.27	23.2	4	1	2	4.3	2.6	0.06	+0.7	+1.4	Matches
14	Agustín Álvarez Martínez	uy URU	FW,MF	Sassuolo	22-012	2001	4.1	1	14	4	28.6	3.42	0.98	0.07	0.25	15.8	0	0	0	1.5	1.5	0.11	-0.5	-0.5	Matches
15	Kelvin Amian	fr FRA	DF	Spezia	25-112	1998	25.4	0	26	7	26.9	1.02	0.28	0.00	0.00	16.7	1	0	0	2.7	2.7	0.10	-2.7	-2.7	Matches
16	Bruno Amione	ar ARG	DF	Hellas Verona	21-148	2002	0.6	0	0	0		0.00	0.00				0	0	0	0.0	0.0		0.0	0.0	Matches
17	Bruno Amione	ar ARG	DF	Sampdoria	21-148	2002	22.2	1	12	2	16.7	0.54	0.09	0.08	0.50	11.5	0	0	0	0.9	0.9	0.07	+0.1	+0.1	Matches
18	Ethan Ampadu	wls WAL	DF,MF	Spezia	22-259	2000	28.3	0	16	5	31.3	0.56	0.18	0.00	0.00	18.1	0	0	0	1.1	1.1	0.07	-1.1	-1.1	Matches
19	Sofyan Amrabat	ma MAR	MF	Fiorentina	26-283	1996	21.3	0	13	4	30.8	0.61	0.19	0.00	0.00	26.6	0	0	0	0.5	0.5	0.04	-0.5	-0.5	Matches
20	Felipe Anderson	br BRA	FW	Lazio	30-046	1993	31.9	9	41	23	56.1	1.29	0.72	0.22	0.39	15.1	0	0	0	6.0	6.0	0.15	+3.0	+3.0	Matches
21	Janis Antiste	fr FRA	FW	Sassuolo	20-286	2002	0.6	1	1	1	100.0	1.73	1.73	1.00	1.00	17.3	0	0	0	0.2	0.2	0.18	+0.8	+0.8	Matches
22	Marcos Antônio	br BRA	MF	Lazio	22-352	2000	6.6	1	3	1	33.3	0.46	0.15	0.33	1.00	18.3	0	0	0	1.2	1.2	0.41	-0.2	-0.2	Matches
23	Valentin Antov	bg BUL	DF	Monza	22-203	2000	3.3	0	0	0		0.00	0.00				0	0	0	0.0	0.0		0.0	0.0	Matches
24	Marko Arnautović	at AUT	FW	Bologna	34-042	1989	16.2	9	27	14	51.9	1.67	0.86	0.22	0.43	15.8	0	3	3	6.9	4.5	0.17	+2.1	+1.5	Matches
25	Tolgay Arslan	de GER	MF	Udinese	32-288	1990	12.9	1	24	5	20.8	1.85	0.39	0.04	0.20	21.0	1	0	0	2.2	2.2	0.09	-1.2	-1.2	Matches
