,team_id,Team,dr_att,dr_compl,perc_dr_compl
0,9875,Napoli,764,322,42.1
1,8543,Lazio,579,269,46.5
2,9885,Juventus,588,272,46.3
3,8636,Inter,471,207,43.9
4,8524,Atalanta,751,329,43.8
5,8564,Milan,755,349,46.2
6,8686,Roma,641,259,40.4
7,8535,Fiorentina,669,299,44.7
8,9857,Bologna,543,255,47.0
9,6504,Monza,561,267,47.6
10,9804,Torino,643,292,45.4
11,7943,Sassuolo,623,282,45.3
12,8600,Udinese,727,306,42.1
13,6480,Salernitana,544,236,43.4
14,8534,Empoli,656,289,44.1
15,9888,Lecce,536,229,42.7
16,9876,Hellas Verona,603,263,43.6
17,9881,Spezia,625,270,43.2
18,7801,Cremonese,535,217,40.6
19,9882,Sampdoria,520,241,46.3



