,team_id,Team,pass_per_seq,speed
0,9875,Napoli,4.56,1.24
1,8543,Lazio,4.17,1.39
2,9885,Juventus,3.57,1.49
3,8636,Inter,3.99,1.47
4,8524,Atalanta,3.32,1.59
5,8564,Milan,3.45,1.45
6,8686,Roma,3.27,1.47
7,8535,Fiorentina,3.30,1.45
8,9857,Bologna,3.72,1.29
9,6504,Monza,3.86,1.30
10,9804,Torino,3.49,1.19
11,7943,Sassuolo,3.47,1.68
12,8600,Udinese,3.10,1.64
13,6480,Salernitana,3.00,1.49
14,8534,Empoli,3.08,1.63
15,9888,Lecce,2.42,1.63
16,9876,Hellas Verona,2.31,1.98
17,9881,Spezia,2.85,1.47
18,7801,Cremonese,2.55,1.75
19,9882,Sampdoria,2.97,1.59
