Squad	# Pl	Poss	90s	Touches	Def Pen 	Def 3rd 	Mid 3rd 	Att 3rd 	Att Pen 	Live 	Att 	Succ 	Succ% 	Tkld 	Tkld% 	Carries 	TotDist 	PrgDist 	PrgC 	1/3 	CPA 	Mis 	Dis 	Rec 	PrgR
Atalanta	25	49.8	37.0	23178	2571	8083	10446	4894	664	23175	708	311	43.9	309	43.6	12973	68053	32466	579	453	128	632	318	14644	1214
Bologna	27	45.4	37.0	20436	2057	6282	9312	5058	760	20427	701	315	44.9	292	41.7	11192	58054	28037	541	456	134	569	348	12768	1241
Cremonese	33	57.9	37.0	24588	2313	7979	10970	5885	911	24583	789	354	44.9	354	44.9	14174	76200	39961	747	535	183	597	331	16240	1572
Empoli	31	52.7	37.0	22360	2074	6628	9565	6370	974	22354	618	276	44.7	246	39.8	12703	71259	37564	815	540	188	549	343	14461	1627
Fiorentina	30	43.7	37.0	18603	2981	8217	7317	3305	592	18596	600	244	40.7	279	46.5	9360	49713	23828	462	304	140	523	294	10803	889
Hellas Verona	36	58.3	37.0	23418	2321	7501	10872	5256	850	23417	614	258	42.0	283	46.1	12529	67182	32176	583	426	155	644	304	14853	1418
Inter	24	44.4	37.0	20520	2576	7092	9062	4564	621	20517	584	260	44.5	252	43.2	11263	60436	31073	670	498	130	519	309	13226	1185
Juventus	29	50.6	37.0	22701	2367	6865	10424	5665	642	22696	618	258	41.7	279	45.1	13257	71508	37209	722	599	123	575	300	15198	1329
Lazio	23	47.9	37.0	23109	2531	8595	10043	4713	695	23107	684	335	49.0	263	38.5	14005	69161	32149	582	396	135	512	295	15899	1271
Lecce	29	58.6	37.0	24069	2298	7925	11102	5276	725	24063	685	296	43.2	313	45.7	13534	70421	35789	597	456	126	664	378	15499	1355
Milan	29	45.0	37.0	19754	2426	6941	8604	4425	593	19749	628	257	40.9	295	47.0	10891	58464	27552	537	438	106	618	382	11982	1144
Monza	31	44.9	37.0	20026	2018	5941	9153	5152	806	20023	602	285	47.3	251	41.7	11243	64432	34148	751	500	161	589	324	12750	1387
Napoli	27	38.5	37.0	18808	2695	7496	7757	3759	573	18806	581	257	44.2	254	43.7	9912	50894	24977	502	359	127	518	305	11309	982
Roma	30	51.9	37.0	22617	2330	7102	10828	4892	503	22614	670	323	48.2	282	42.1	13462	71164	34965	628	508	120	553	328	15074	1329
Salernitana	30	55.4	37.0	23750	2006	6727	11649	5607	931	23740	652	299	45.9	252	38.7	14047	75473	39090	758	549	189	524	321	16074	1587
Sampdoria	37	53.4	37.0	22847	2177	7172	10375	5567	938	22837	642	293	45.6	255	39.7	13062	69000	34713	695	529	169	519	323	14906	1521
Sassuolo	30	50.9	37.0	22326	2554	7823	9759	4938	795	22322	530	239	45.1	216	40.8	12993	68230	36222	661	425	167	522	282	14834	1303
Spezia	34	52.2	37.0	22313	2217	7385	9670	5473	939	22307	642	302	47.0	247	38.5	12030	65809	32959	645	479	189	577	363	13850	1382
Torino	28	46.5	37.0	20187	2341	7401	8700	4299	648	20181	432	166	38.4	196	45.4	10806	55114	25170	503	397	128	580	272	12257	1061
Udinese	28	51.9	37.0	21972	2128	6738	10387	5076	718	21965	703	295	42.0	320	45.5	12196	65472	33956	612	493	116	545	319	14336	1394
