,team_id,Squad,Gls,xG,G-xG
0,8524,Atalanta,50,47.6,+2.4
1,9857,Bologna,39,33.4,+5.6
2,7801,Cremonese,27,32.6,-5.6
3,8534,Empoli,25,29.9,-4.9
4,8535,Fiorentina,35,43.6,-8.6
5,9876,Hellas Verona,24,30.2,-6.2
6,8636,Inter,50,56.1,-6.1
7,9885,Juventus,47,44.2,+2.8
8,8543,Lazio,48,39.9,+8.1
9,9888,Lecce,25,29.1,-4.1
10,8564,Milan,48,47.8,+0.2
11,6504,Monza,38,39.0,-1.0
12,9875,Napoli,65,54.4,+10.6
13,8686,Roma,43,48.4,-5.4
14,6480,Salernitana,35,31.0,+4.0
15,9882,Sampdoria,20,27.8,-7.8
16,7943,Sassuolo,37,40.7,-3.7
17,9881,Spezia,24,34.8,-10.8
18,9804,Torino,32,33.6,-1.6
19,8600,Udinese,41,41.8,-0.8
